,holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
48199,7,283.45,0.0,0.0,75,19,3543
30239,7,276.08,0.0,0.0,75,18,4600
1473,7,271.25,0.0,0.0,90,0,524
24023,7,290.8,0.0,0.0,40,21,2806
292,7,284.03,0.0,0.0,93,20,2718
44465,7,299.07,0.0,0.0,1,21,2338
6533,7,295.46,0.0,0.0,40,19,3479
25960,7,294.69,1.52,0.0,1,21,2298
14075,7,286.96,0.0,0.0,40,23,3457
37881,7,285.15,0.0,0.0,1,23,955
2695,7,269.17,0.0,0.0,20,17,4230
30052,7,257.22,0.0,0.0,1,0,1341
14961,7,290.51,0.0,0.0,75,3,513
48181,7,280.08,0.0,0.0,90,3,364
39131,7,279.02,0.0,0.0,1,23,1174
4807,7,280.23,0.0,0.0,1,19,3604
39424,7,271.48,0.0,0.0,1,2,577
12926,7,268.38,0.0,0.0,20,2,519
36217,7,293.79,0.0,0.0,90,18,4077
16402,7,291.58,0.0,0.0,1,21,3133
22419,7,278.79,0.0,0.0,40,23,1946
23170,7,287.39,0.25,0.0,90,20,2650
16799,7,300.91,0.0,0.0,1,18,4562
8285,7,291.61,0.0,0.0,0,21,3042
14206,7,289.44,0.51,0.0,90,20,2890
9524,7,284.23,0.25,0.0,92,17,6279
36232,7,290.44,0.0,0.0,90,1,392
2012,7,265.41,0.0,0.0,75,1,699
31644,7,263.22,0.0,0.0,1,21,2929
4840,7,274.27,0.0,0.0,90,20,2712
39329,7,270.93,0.0,0.0,1,3,376
22963,7,289.39,0.0,0.0,75,17,5102
45906,7,301.01,0.0,0.0,40,19,3277
47743,7,295.83,0.0,0.0,75,3,344
21617,7,274.95,0.0,0.0,75,21,3036
25132,7,295.19,0.0,0.0,1,2,428
1846,7,272.01,0.0,0.0,90,3,339
15170,7,294.37,0.0,0.0,76,0,1471
20456,7,272.49,0.0,0.0,75,1,323
45433,7,302.58,0.0,0.0,1,1,869
8456,7,289.55,0.0,0.0,90,23,1887
28572,7,280.15,0.0,0.0,90,2,240
8766,7,283.36,0.0,0.0,0,1,333
26324,7,292.39,0.25,0.0,1,2,369
34022,7,289.37,0.0,0.0,75,2,367
34242,7,293.4,0.0,0.0,1,0,2759
37551,7,287.62,0.0,0.0,1,23,1494
38164,7,294.55,0.0,0.0,1,18,5107
13708,7,273.75,1.08,0.0,90,17,5857
26292,7,290.8,0.0,0.0,1,23,1777
4834,7,274.52,0.0,0.0,90,18,4160
29136,7,255.68,0.0,0.0,1,19,3197
